,equity_curve,strategy,signal
2025-01-02,100011.73037138344,0.0,buy
2025-01-03,100011.73037138344,0.0,hold
2025-01-06,100011.73037138344,0.0,hold
2025-01-07,107228.69634231328,0.072161194933138,hold
2025-01-08,107241.27466662387,0.00011730371383444904,hold
2025-01-10,107253.8544664186,0.00011730371383444904,hold
2025-01-13,107253.8544664186,0.0,sell
2025-01-14,107266.43574187058,0.00011730371383444904,hold
2025-01-15,107266.43574187058,0.0,hold
2025-01-16,107279.01849315288,0.00011730371383444904,hold
2025-01-17,107291.60272043863,0.00011730371383444904,hold
2025-01-21,107304.188423901,0.00011730371383444904,hold
2025-01-22,107304.188423901,0.0,hold
2025-01-23,107316.7756037131,0.00011730371383444904,hold
2025-01-24,107329.36426004815,0.00011730371383444904,hold
2025-01-27,107341.95439307934,0.00011730371383444904,hold
2025-01-28,107341.95439307934,0.0,hold
2025-01-29,107354.5460029799,0.00011730371383444904,buy
2025-01-30,107354.5460029799,0.0,hold
2025-01-31,107354.5460029799,0.0,hold
2025-02-03,108919.4379153231,0.014576857437408997,hold
2025-02-04,108932.21456989933,0.00011730371383444904,hold
2025-02-05,108944.99272322458,0.00011730371383444904,hold
2025-02-06,108957.77237547468,0.00011730371383444904,sell
2025-02-07,108957.77237547468,0.0,hold
2025-02-10,137494.8721781194,0.2619097213579611,hold
2025-02-11,137494.8721781194,0.0,hold
2025-02-12,137511.00083725908,0.00011730371383444904,hold
2025-02-13,137527.1313883504,0.00011730371383444904,hold
2025-02-14,137543.26383161524,0.00011730371383444904,hold
2025-02-18,137543.26383161524,0.0,hold
2025-02-19,137559.3981672756,0.00011730371383444904,hold
2025-02-20,137559.3981672756,0.0,hold
2025-02-21,137575.53439555343,0.00011730371383444904,buy
2025-02-24,137575.53439555343,0.0,hold
2025-02-25,100428.17574839623,-0.27001427841342873,hold
2025-02-26,100428.17574839623,0.0,hold
2025-02-27,100439.95634638514,0.00011730371383444904,hold
2025-02-28,100451.73832628193,0.00011730371383444904,hold
2025-03-03,100451.73832628193,0.0,sell
2025-03-04,100463.52168824873,0.00011730371383444904,hold
2025-03-05,100463.52168824873,0.0,hold
2025-03-06,100475.30643244764,0.00011730371383444904,hold
2025-03-07,100487.09255904083,0.00011730371383444904,hold
2025-03-10,100498.88006819042,0.00011730371383444904,hold
2025-03-11,100498.88006819042,0.0,hold
2025-03-12,100510.66896005863,0.00011730371383444904,hold
2025-03-13,100522.45923480763,0.00011730371383444904,hold
2025-03-14,100534.25089259964,0.00011730371383444904,hold
2025-03-17,100534.25089259964,0.0,hold
2025-03-18,100546.0439335969,0.00011730371383444904,hold
2025-03-19,100546.0439335969,0.0,hold
2025-03-20,100557.83835796168,0.00011730371383444904,hold
2025-03-21,100569.63416585623,0.00011730371383444904,hold
2025-03-24,100581.43135744285,0.00011730371383444904,hold
2025-03-25,100581.43135744285,0.0,hold
2025-03-26,100593.22993288387,0.00011730371383444904,hold
2025-03-27,100605.0298923416,0.00011730371383444904,hold
2025-03-28,100616.83123597839,0.00011730371383444904,hold
2025-03-31,100616.83123597839,0.0,hold
2025-04-01,100628.63396395663,0.00011730371383444904,hold
2025-04-02,100628.63396395663,0.0,hold
2025-04-03,100640.43807643869,0.00011730371383444904,hold
2025-04-04,100652.24357358698,0.00011730371383444904,hold
2025-04-07,100664.05045556393,0.00011730371383444904,hold
2025-04-08,100664.05045556393,0.0,hold
2025-04-09,100675.858722532,0.00011730371383444904,hold
2025-04-10,100687.66837465361,0.00011730371383444904,hold
2025-04-11,100699.4794120913,0.00011730371383444904,hold
2025-04-14,100699.4794120913,0.0,hold
2025-04-15,100711.29183500753,0.00011730371383444904,hold
2025-04-16,100711.29183500753,0.0,hold
2025-04-17,100723.10564356485,0.00011730371383444904,hold
2025-04-21,100734.92083792578,0.00011730371383444904,hold
2025-04-22,100746.73741825289,0.00011730371383444904,hold
2025-04-23,100758.55538470876,0.00011730371383444904,hold
2025-04-24,100770.37473745598,0.00011730371383444904,hold
2025-04-25,100770.37473745598,0.0,hold
2025-04-28,100782.19547665717,0.00011730371383444904,hold
2025-04-29,100782.19547665717,0.0,hold
2025-04-30,100794.01760247497,0.00011730371383444904,hold
2025-05-01,100805.84111507203,0.00011730371383444904,hold
2025-05-02,100817.66601461104,0.00011730371383444904,hold
2025-05-05,100817.66601461104,0.0,hold
2025-05-06,100829.49230125468,0.00011730371383444904,hold
2025-05-07,100829.49230125468,0.0,hold
2025-05-08,100841.31997516566,0.00011730371383444904,buy
2025-05-09,100841.31997516566,0.0,hold
2025-05-12,113613.17530511857,0.12665299634215654,hold
2025-05-13,113626.50255252238,0.00011730371383444904,hold
2025-05-14,113639.83136326181,0.00011730371383444904,hold
2025-05-15,113653.16173752023,0.00011730371383444904,hold
2025-05-16,113653.16173752023,0.0,hold
2025-05-19,113666.49367548108,0.00011730371383444904,hold
2025-05-20,113666.49367548108,0.0,sell
2025-05-21,113679.82717732775,0.00011730371383444904,hold
2025-05-22,113693.16224324371,0.00011730371383444904,hold
2025-05-23,113706.49887341243,0.00011730371383444904,hold
