open_date,close_date,holding_period,open_price,close_price,entry_type,exit_type,pnl,return,equity,open_reason,close_reason
2025-01-21,2025-01-23,2,524.8,532.64,buy,take_profit_sell,0.0147,0.0149,101592.8494,"{'buy_reasons': ['Close > EMA20', 'SMA20 > SMA50', 'MACD > Signal', 'Close > Ichimoku A/B', 'MTF Bullish (proxy)'], 'sell_reasons': ['RSI > 55', 'OBV < 0', 'High Volatility'], 'hold_reasons': [], 'top_buy': ['Close > EMA20', 'SMA20 > SMA50', 'MACD > Signal'], 'top_sell': ['RSI > 55', 'OBV < 0', 'High Volatility'], 'mtf_used': True}","{'buy_reasons': ['Close > EMA20', 'SMA20 > SMA50', 'MACD > Signal', 'Close > Ichimoku A/B', 'MTF Bullish (proxy)'], 'sell_reasons': ['RSI > 55', 'Stoch > 80', 'OBV < 0', 'High Volatility'], 'hold_reasons': [], 'top_buy': ['Close > EMA20', 'SMA20 > SMA50', 'MACD > Signal'], 'top_sell': ['RSI > 55', 'Stoch > 80', 'OBV < 0'], 'mtf_used': True}"
2025-03-03,2025-03-06,3,497.05,488.2,buy,sell,-0.018,-0.0178,99974.7052,"{'buy_reasons': ['SMA20 > SMA50', 'RSI < 45', 'Close < BB Lower', 'Stoch < 20'], 'sell_reasons': ['Close < EMA20', 'MACD < Signal', 'OBV < 0', 'Close < Ichimoku A/B', 'High Volatility'], 'hold_reasons': [], 'top_buy': ['SMA20 > SMA50', 'RSI < 45', 'Close < BB Lower'], 'top_sell': ['Close < EMA20', 'MACD < Signal', 'OBV < 0'], 'mtf_used': False}","{'buy_reasons': ['RSI < 45', 'Stoch < 20'], 'sell_reasons': ['Close < EMA20', 'SMA20 < SMA50', 'MACD < Signal', 'OBV < 0', 'Close < Ichimoku A/B', 'High Volatility'], 'hold_reasons': [], 'top_buy': ['RSI < 45', 'Stoch < 20'], 'top_sell': ['Close < EMA20', 'SMA20 < SMA50', 'MACD < Signal'], 'mtf_used': False}"
2025-05-22,2025-05-23,1,514.0,509.24,buy,open_at_end,-0.0093,-0.0093,100409.5366,"{'buy_reasons': ['Close > EMA20', 'SMA20 > SMA50', 'MACD > Signal', 'Close > Ichimoku A/B', 'MTF Bullish (proxy)'], 'sell_reasons': ['RSI > 55', 'Stoch > 80', 'OBV < 0', 'High Volatility'], 'hold_reasons': [], 'top_buy': ['Close > EMA20', 'SMA20 > SMA50', 'MACD > Signal'], 'top_sell': ['RSI > 55', 'Stoch > 80', 'OBV < 0'], 'mtf_used': True}",{}
