open_date,close_date,holding_period,open_price,close_price,entry_type,exit_type,pnl,return,equity,open_reason,close_reason
2025-01-02,2025-01-07,5,3.04,3.26,buy,sell,0.0722,0.0724,107228.6963,"{'buy_reasons': ['Close > EMA20', 'SMA20 > SMA50', 'MACD > Signal', 'OBV > 0', 'High Volume', 'MTF Bullish (proxy)'], 'sell_reasons': ['RSI > 55', 'High Volatility', 'Near Fibo 0.618'], 'hold_reasons': [], 'top_buy': ['Close > EMA20', 'SMA20 > SMA50', 'MACD > Signal'], 'top_sell': ['RSI > 55', 'High Volatility', 'Near Fibo 0.618'], 'mtf_used': True}","{'buy_reasons': ['Close > EMA20', 'SMA20 > SMA50', 'OBV > 0', 'High Volume', 'MTF Bullish (proxy)'], 'sell_reasons': ['MACD < Signal', 'RSI > 55', 'High Volatility'], 'hold_reasons': [], 'top_buy': ['Close > EMA20', 'SMA20 > SMA50', 'OBV > 0'], 'top_sell': ['MACD < Signal', 'RSI > 55', 'High Volatility'], 'mtf_used': True}"
2025-01-29,2025-02-03,5,2.03,2.06,buy,sell,0.0146,0.0148,108919.4379,"{'buy_reasons': ['SMA20 > SMA50', 'RSI < 45', 'Stoch < 20', 'OBV > 0', 'High Volume'], 'sell_reasons': ['Close < EMA20', 'MACD < Signal', 'Close < Ichimoku A/B', 'High Volatility'], 'hold_reasons': [], 'top_buy': ['SMA20 > SMA50', 'RSI < 45', 'Stoch < 20'], 'top_sell': ['Close < EMA20', 'MACD < Signal', 'Close < Ichimoku A/B'], 'mtf_used': False}","{'buy_reasons': ['SMA20 > SMA50', 'RSI < 45', 'OBV > 0', 'High Volume'], 'sell_reasons': ['Close < EMA20', 'MACD < Signal', 'Close < Ichimoku A/B', 'High Volatility'], 'hold_reasons': [], 'top_buy': ['SMA20 > SMA50', 'RSI < 45', 'OBV > 0'], 'top_sell': ['Close < EMA20', 'MACD < Signal', 'Close < Ichimoku A/B'], 'mtf_used': False}"
2025-02-06,2025-02-10,4,2.06,2.6,buy,trailing_stop_sell,0.2619,0.2621,137494.8722,"{'buy_reasons': ['SMA20 > SMA50', 'RSI < 45', 'OBV > 0', 'High Volume'], 'sell_reasons': ['Close < EMA20', 'MACD < Signal', 'Close < Ichimoku A/B', 'High Volatility'], 'hold_reasons': [], 'top_buy': ['SMA20 > SMA50', 'RSI < 45', 'OBV > 0'], 'top_sell': ['Close < EMA20', 'MACD < Signal', 'Close < Ichimoku A/B'], 'mtf_used': False}","{'buy_reasons': ['Close > EMA20', 'SMA20 > SMA50', 'OBV > 0', 'High Volume', 'MTF Bullish (proxy)'], 'sell_reasons': ['MACD < Signal', 'RSI > 55', 'High Volatility'], 'hold_reasons': [], 'top_buy': ['Close > EMA20', 'SMA20 > SMA50', 'OBV > 0'], 'top_sell': ['MACD < Signal', 'RSI > 55', 'High Volatility'], 'mtf_used': True}"
2025-02-21,2025-02-25,4,1.89,1.38,buy,stop_loss_sell,-0.27,-0.2698,100428.1757,"{'buy_reasons': ['RSI < 45', 'Stoch < 20', 'OBV > 0', 'Near Fibo 0.382', 'High Volume'], 'sell_reasons': ['Close < EMA20', 'SMA20 < SMA50', 'MACD < Signal', 'Close < Ichimoku A/B', 'High Volatility'], 'hold_reasons': [], 'top_buy': ['RSI < 45', 'Stoch < 20', 'OBV > 0'], 'top_sell': ['Close < EMA20', 'SMA20 < SMA50', 'MACD < Signal'], 'mtf_used': False}","{'buy_reasons': ['RSI < 45', 'Close < BB Lower', 'Stoch < 20', 'OBV > 0', 'High Volume'], 'sell_reasons': ['Close < EMA20', 'SMA20 < SMA50', 'MACD < Signal', 'Close < Ichimoku A/B', 'High Volatility'], 'hold_reasons': [], 'top_buy': ['RSI < 45', 'Close < BB Lower', 'Stoch < 20'], 'top_sell': ['Close < EMA20', 'SMA20 < SMA50', 'MACD < Signal'], 'mtf_used': False}"
2025-05-08,2025-05-12,4,1.34,1.51,buy,trailing_stop_sell,0.1267,0.1269,113613.1753,"{'buy_reasons': ['Close > EMA20', 'MACD > Signal', 'OBV > 0', 'Low Volatility', 'High Volume'], 'sell_reasons': ['SMA20 < SMA50'], 'hold_reasons': [], 'top_buy': ['Close > EMA20', 'MACD > Signal', 'OBV > 0'], 'top_sell': ['SMA20 < SMA50'], 'mtf_used': False}","{'buy_reasons': ['Close > EMA20', 'MACD > Signal', 'OBV > 0', 'Close > Ichimoku A/B', 'High Volume'], 'sell_reasons': ['SMA20 < SMA50', 'RSI > 55', 'Close > BB Upper', 'Stoch > 80'], 'hold_reasons': [], 'top_buy': ['Close > EMA20', 'MACD > Signal', 'OBV > 0'], 'top_sell': ['SMA20 < SMA50', 'RSI > 55', 'Close > BB Upper'], 'mtf_used': False}"
